,Name,Latitude,Longitude,High Temp,Humidity,Clouds,Wind Speed
0,Makaryev,57.88,43.81,36.51,95,36,6.42
1,Fangshan,39.75,116.14,66.2,32,0,15.66
2,Itaituba,-4.26,-55.99,82.32,70,0,4.18
3,Bitung,1.44,125.19,91.4,41,20,5.82
4,Tobol,59.83,12.54,48.2,81,32,14.99
5,Belaya Gora,68.54,146.19,32.46,89,92,19.84
6,Severo-Kurilsk,50.68,156.12,53.7,83,8,9.22
7,Malartic,48.14,-78.13,39.2,93,75,4.7
8,Mataura,-46.19,168.86,55.32,96,24,3.96
9,Ancud,-41.87,-73.83,40.65,72,48,8.77
10,Punta Arenas,-53.16,-70.91,37.4,74,90,21.92
11,Guozhen,29.3,113.14,78.18,74,0,3.96
12,Mayumba,-3.44,10.65,74.4,100,92,6.42
13,Yulara,-25.24,130.99,80.6,19,20,18.34
14,Isla Vista,34.41,-119.86,66.02,67,1,5.82
15,Rikitea,-23.12,-134.97,73.05,100,76,11.01
16,Constitucion,23.99,-104.67,64.4,68,90,6.93
17,Juneau,58.3,-134.42,60.98,6,1,3.74
18,Laguna,27.52,-110.01,82.4,69,75,4.7
19,East London,-33.02,27.91,66.12,100,20,24.54
20,Barrow,-38.31,-60.23,47.67,88,0,9.78
21,Geraldton,49.72,-86.95,32.0,72,75,5.82
22,Mulege,26.88,-111.98,81.15,65,24,3.74
23,New Norfolk,-42.78,147.06,64.4,36,20,13.87
24,Provideniya,64.42,-173.23,49.2,85,92,27.56
25,Avarua,-21.21,-159.78,75.2,57,75,5.82
26,Saint George,39.45,22.34,59.0,93,90,12.75
27,Aberfoyle,56.18,-4.38,48.2,76,75,5.82
28,Broome,52.47,1.45,42.8,93,0,5.82
29,Ilulissat,69.22,-51.1,35.6,55,48,12.75
30,Tocopilla,-22.09,-70.2,57.3,100,48,3.96
31,Axim,4.87,-2.24,77.82,100,92,10.0
32,Airai,-8.93,125.41,85.02,40,0,2.73
33,Port Alfred,-33.59,26.89,63.42,90,0,22.53
34,Broken Hill,-31.97,141.45,67.38,39,0,11.23
35,Monki,53.41,22.8,38.31,69,0,10.56
36,Vila Velha,-3.71,-38.6,80.6,78,75,12.75
37,Bonavista,48.65,-53.11,57.48,89,100,9.1
38,Ribeira Grande,38.52,-28.7,71.25,100,36,18.61
39,Carutapera,-1.2,-46.02,79.71,84,80,11.12
40,Henties Bay,-22.12,14.28,54.78,100,24,2.73
41,Petrokamenskoye,57.72,60.65,38.76,96,92,5.64
42,Sao Joao da Barra,-21.64,-41.05,74.04,100,92,7.76
43,Yellowknife,62.45,-114.38,32.0,96,75,12.75
44,Brae,60.4,-1.35,50.0,57,68,21.92
45,Ushuaia,-54.81,-68.31,30.2,92,90,10.29
46,Meulaboh,4.14,96.13,78.09,100,80,4.52
47,Vila Franca do Campo,37.72,-25.43,68.0,77,40,10.29
48,Srednekolymsk,67.46,153.71,34.98,89,92,8.1
49,Kabanjahe,3.1,98.49,84.2,79,40,4.7
50,Sitka,37.17,-99.65,73.23,62,0,17.16
51,Puerto Colombia,10.99,-74.96,82.4,83,75,13.87
52,Albany,42.65,-73.75,50.0,86,1,3.51
53,Zonguldak,41.25,31.83,62.7,98,88,4.41
54,Ayan,40.67,33.6,42.27,86,12,2.06
55,Nyakahanga,-1.6,31.14,58.65,94,8,2.62
56,Qaanaaq,77.48,-69.36,15.54,100,24,5.41
57,Cape Town,-33.93,18.42,59.82,87,0,4.07
58,Arraial do Cabo,-22.97,-42.02,72.87,99,100,12.01
59,Kato Milea,40.25,22.34,64.4,63,75,10.29
60,College,64.86,-147.8,62.24,6,1,4.7
61,Hualmay,-11.1,-77.61,56.31,93,20,4.52
62,Charagua,-19.79,-63.2,80.7,59,0,20.29
63,Tasiilaq,65.61,-37.64,33.8,50,0,1.12
64,Mahebourg,-20.41,57.7,69.8,88,40,10.29
65,Thompson,55.74,-97.86,30.2,92,90,8.05
66,Atuona,-9.8,-139.03,79.44,100,8,8.43
67,Kapaa,22.08,-159.32,80.96,93,90,4.7
68,Punta Alta,-27.46,-55.82,82.4,61,0,6.93
69,Acapulco,16.86,-99.88,84.2,79,75,3.36
70,Riyadh,24.63,46.72,75.2,36,0,8.05
71,Chiredzi,-21.05,31.67,67.56,63,92,17.05
72,Lompoc,34.64,-120.46,64.94,67,1,5.82
73,Hithadhoo,-0.6,73.08,82.5,100,32,13.8
74,Chuy,-33.69,-53.46,66.03,96,100,3.06
75,Fare,-16.7,-151.02,77.73,100,0,7.09
76,Mehamn,71.03,27.85,36.87,100,88,13.47
77,Lasa,34.92,32.53,77.0,53,12,4.7
78,Caravelas,-17.73,-39.27,76.83,100,12,5.75
79,Busselton,-33.64,115.35,63.33,95,8,19.73
